question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
What is the Abomination of Desolation spoken of by Daniel in the Bible?,18,1600,0,18,0
"When making notes from a big book whose each line seems important, how should we make notes so that neither the entire text gets copied, nor the essence and logical flow of the text is lost?",6,8222,0,6,0
How is the book 'Something Happened on the Way to Heaven'?,2,595,0,2,0
Were the Narnia books originally written for children or adults?,2,292,0,2,0
How well are physical book sales holding up in the digital era?,1,546,0,1,0
What is the best explanation to explain the concept of evolution in the book Evolution?,2,618,0,2,0
What do you mean by “book tuber”?,6,805,0,6,0
"Is there a social network for similar interests? For example, how many people in the world have the same favorite movie? How many have same favorite movie and book? Mine=Baraka+Leaves of Grass.",1,141,0,1,0
What is the genre of black sheep from Scott Pilgrim vs. the World?,1,233,0,1,0
"The library is to be given 7 books as a gift. The books will be selected from a list of 19 titles. If each book selected must have a different title, how many possible selections are there?",2,396,0,2,0
Is there any way to turn an eBook into an audio book and have it read out loud on an iPhone?,1,522,0,1,0
What did you hate the most in the Harry Potter books?,1,1184,0,1,0
Is self-publishing a viable option for literary fiction (e.g. a novel along the lines of The Crying of Lot 49 or Cosmopolis)?,1,333,1,1,0
How do I read any book in Hindi?,1,1959,0,1,0
What are the best books (preferably from Springer or Wiley) to read if I am going to start learning about microcontrollers from the beginning?,1,246,0,1,0
"Honourable sir, can you please provide me the books you preferred for clearing gate ecology and evolution paper?",1,196,0,1,0
Which is the best book for health programmes in the India context of the PSM subject?,1,307,0,1,0
"Do the principles mentioned in ""Think and Grow Rich"" by Napoleon Hill work in real life?",3,534,0,3,0
"What is the difference between a soft copy and a hard copy book, and when is each most appropriate?",9,2340,0,9,0
What did Anthony Fauci and Stephen Hahn say about coronavirus?,3,955,0,2,1
Having read John Grisham's ‘The Reckoning’ I felt the events in the novel have been placed intriguingly and carefully with respect to their time of occurrence. Is there anything like ‘chronological editing’ in the editing parlance?,1,400,0,1,0
What can a reader infer about William Golding’s view of humanity from Lord of the Flies’ ending? Does the rest of the book suggest that the author is pessimistic or hopeful about humanity's future?,1,406,0,1,0
How do I read Mills and Boon novels totally for free?,1,807,0,1,0
"To be successful as an online blog writer, do you have to buy a lot of books?",2,661,0,2,0
Who is the best tactician in all ages of the Tolkienverse?,3,2184,0,3,0
Did you get an electrical book for AC&DC PDF?,1,965,0,1,0
Which books are recommended for learning about blitzkrieg?,3,557,0,3,0
Which is your favorite classic Russian author?,2,1097,0,2,0
Does anyone trust the authors of fiction novels?,6,1014,1,6,0
Is the study material of ICAI important to read?,8,1178,0,8,0
What were some of the most devastating ends to a comic book?,2,1223,0,2,0
What is the point of getting published when they put books on Kindle just like you can and you can market online yourself? Besides the fact that they might pay for a bit?,12,3614,0,12,0
Are difficult novels necessarily better?,8,1732,0,8,0
Is it worth solving the plane trigonometry book by SL Loney for IIT JEE preparation?,3,764,0,3,0
"I am a 12th standard NEET aspirant and going to give this exam in 2021.I read NCERT books for theory but after reading especially in physics and chem MCQ solving comes, it gets difficult to me to solve them.What should I do now as remedy?",2,1709,0,2,0
"What is the volume of a paperback book 21 cm tall, 12 cm wide, and 3.5 cm thick?",3,350,0,3,0
What are the best things to read during long periods when you can’t go out?,3,968,0,3,0
Does Barnes & Noble actually make profit from magazine sales? They always have thousands of new magazines that they can't possibly sell.,3,309,0,3,0
Why are babies being conditioned to hate books and flowers?,7,1026,0,7,0
Where can I buy a Russian print of Marcus Aurelius' Medidation?,3,920,0,3,0
"Are Enzo and Lila endgame in ""My Brilliant friend""?",1,293,0,1,0
What is the name of the best authentic and most popular book on the biography of Hazrat Mohammad (PBUH)?,1,533,0,1,0
